"National Administrator","Account Type","Account Holder Name","Installation/Aircraft ID","Installation Name/Aircraft Operator Code","Company Registration No","Permit/Plan ID","Permit/Plan Date","Main Activity Type","Latest Compliance Code"
"Austria","Operator Holding Account","Kelag Energie & Wärme GmbH","104","Kelag Wärme Prolactal Hartberg","FN 68303 x","EFE052","2004-01-02","Combustion of fuels","A","Austria","Operator Holding Account","Veitsch-Radex GmbH & Co OG","77","Veitsch-Radex Breitenau","FN 221994 m","IFE130","2004-01-01","Production of lime, or calcination of dolomite/magnesite","A","Austria","Operator Holding Account","Wienerberger Österreich GmbH","111","Wienerberger Knittelfeld (Apfelberg)","FN 94684 t","IZI134","2004-01-01","Manufacture of ceramics","C","Austria","Operator Holding Account","Wienerberger Österreich GmbH","119","Wienerberger Uttendorf","FN 94684 t","IZI140","2004-01-01","Manufacture of ceramics","A","Austria","Operator Holding Account","Wienerberger Österreich GmbH","112","Wienerberger Göllersdorf","FN 94684 t","IZI138","2004-01-01","Manufacture of ceramics","A","Austria","Operator Holding Account","Wienerberger Österreich GmbH","113","Wienerberger Hennersdorf","FN 94684 t","IZI132","2004-01-01","Manufacture of ceramics","A","Austria","Operator Holding Account","Wienerberger Österreich GmbH","114","Wienerberger Laa Thaya","FN 94684 t","IZI142","2006-02-25","Installations for the manufacture of ceramic products by firing, in particular roofing tiles, bricks, refractory bricks, tiles, stoneware or porcelain","A","Austria","Operator Holding Account","Wienerberger Österreich GmbH","116","Wienerberger Krengelbach Haiding","FN 94684 t","IZI133","2004-01-01","Manufacture of ceramics","A","Austria","Operator Holding Account","Wienerberger Österreich GmbH","117","Wienerberger Rotenturm","FN 94684 t","IZI141","2004-01-01","Manufacture of ceramics","A","Austria","Operator Holding Account","Wienerberger Österreich GmbH","115","Wienerberger Fürstenfeld","FN 94684 t","IZI136","2004-01-01","Manufacture of ceramics","A","Austria","Operator Holding Account","VERBUND Thermal Power GmbH & Co KG","93","Verbund KW 2 Pernegg","FN 220426 g","EEW10-1","2004-01-02","Combustion installations with a rated thermal input exceeding 20 MW","C","Austria","Operator Holding Account","VERBUND Thermal Power GmbH & CO KG","94","Verbund KW Dürnrohr Zwentendorf","FN 220426 g","EEW007","2004-01-01","Combustion of fuels","A","Austria","Operator Holding Account","VERBUND Thermal Power GmbH & CO KG","95","Verbund KW Korneuburg","FN 220426 g","EEW008","2004-01-01","Combustion of fuels","A","Austria","Operator Holding Account","VERBUND Thermal Power GmbH & CO KG","99","Verbund FHKW Mellach","FN 220426 g","EEW009","2004-01-01","Combustion of fuels","A","Austria","Operator Holding Account","VERBUND Thermal Power GmbH & CO KG","100","Verbund FHKW Werndorf 1 Wildon","FN 220426 g","EEW013","2004-01-01","Combustion installations with a rated thermal input exceeding 20 MW","A","Austria","Operator Holding Account","VERBUND Thermal Power GmbH & CO KG","101","Verbund FHKW Werndorf 2 Wildon","FN 220426 g","EEW014","2004-01-01","Combustion of fuels","A","Austria","Operator Holding Account","VERBUND Thermal Power GmbH & CO KG","96","Verbund KW St. Andrä","FN 220426 g","EEW011","2004-01-01","Combustion installations with a rated thermal input exceeding 20 MW","A","Austria","Operator Holding Account","VERBUND Thermal Power GmbH & Co KG","97","Verbund KW Voitsberg","FN 220426 g","EEW012","2004-01-02","Combustion installations with a rated thermal input exceeding 20 MW","C","Austria","Operator Holding Account","VERBUND Thermal Power GmbH & CO KG","98","Verbund KW Zeltweg","FN 220426 g","EEW015","2004-01-01","Combustion installations with a rated thermal input exceeding 20 MW","A","Austria","Operator Holding Account","Sappi Austria Produktions-GmbH & Co. KG","110","Sappi Gratkorn","FN 223882 p","IPA088","2004-01-02","Production of paper or cardboard","A"


"Austria","Operator Holding Account","Kelag Energie & Wärme GmbH","104","Kelag Wärme Prolactal Hartberg","FN 68303 x","EFE052","2004-01-02","Combustion of fuels","A"

"Austria","Operator Holding Account","Veitsch-Radex GmbH & Co OG","77","Veitsch-Radex Breitenau","FN 221994 m","IFE130","2004-01-01","Production of lime, or calcination of dolomite/magnesite","A"

"Austria","Operator Holding Account","Wienerberger Österreich GmbH","111","Wienerberger Knittelfeld (Apfelberg)","FN 94684 t","IZI134","2004-01-01","Manufacture of ceramics","C"

"Austria","Operator Holding Account","Wienerberger Österreich GmbH","119","Wienerberger Uttendorf","FN 94684 t","IZI140","2004-01-01","Manufacture of ceramics","A"

"Austria","Operator Holding Account","Wienerberger Österreich GmbH","112","Wienerberger Göllersdorf","FN 94684 t","IZI138","2004-01-01","Manufacture of ceramics","A"

"Austria","Operator Holding Account","Wienerberger Österreich GmbH","113","Wienerberger Hennersdorf","FN 94684 t","IZI132","2004-01-01","Manufacture of ceramics","A"

"Austria","Operator Holding Account","Wienerberger Österreich GmbH","114","Wienerberger Laa Thaya","FN 94684 t","IZI142","2006-02-25","Installations for the manufacture of ceramic products by firing, in particular roofing tiles, bricks, refractory bricks, tiles, stoneware or porcelain","A"

"Austria","Operator Holding Account","Wienerberger Österreich GmbH","116","Wienerberger Krengelbach Haiding","FN 94684 t","IZI133","2004-01-01","Manufacture of ceramics","A"

"Austria","Operator Holding Account","Wienerberger Österreich GmbH","117","Wienerberger Rotenturm","FN 94684 t","IZI141","2004-01-01","Manufacture of ceramics","A"

"Austria","Operator Holding Account","Wienerberger Österreich GmbH","115","Wienerberger Fürstenfeld","FN 94684 t","IZI136","2004-01-01","Manufacture of ceramics","A"

"Austria","Operator Holding Account","VERBUND Thermal Power GmbH & Co KG","93","Verbund KW 2 Pernegg","FN 220426 g","EEW10-1","2004-01-02","Combustion installations with a rated thermal input exceeding 20 MW","C"

"Austria","Operator Holding Account","VERBUND Thermal Power GmbH & CO KG","94","Verbund KW Dürnrohr Zwentendorf","FN 220426 g","EEW007","2004-01-01","Combustion of fuels","A"

"Austria","Operator Holding Account","VERBUND Thermal Power GmbH & CO KG","95","Verbund KW Korneuburg","FN 220426 g","EEW008","2004-01-01","Combustion of fuels","A"

"Austria","Operator Holding Account","VERBUND Thermal Power GmbH & CO KG","99","Verbund FHKW Mellach","FN 220426 g","EEW009","2004-01-01","Combustion of fuels","A"

"Austria","Operator Holding Account","VERBUND Thermal Power GmbH & CO KG","100","Verbund FHKW Werndorf 1 Wildon","FN 220426 g","EEW013","2004-01-01","Combustion installations with a rated thermal input exceeding 20 MW","A"

"Austria","Operator Holding Account","VERBUND Thermal Power GmbH & CO KG","101","Verbund FHKW Werndorf 2 Wildon","FN 220426 g","EEW014","2004-01-01","Combustion of fuels","A"

"Austria","Operator Holding Account","VERBUND Thermal Power GmbH & CO KG","96","Verbund KW St. Andrä","FN 220426 g","EEW011","2004-01-01","Combustion installations with a rated thermal input exceeding 20 MW","A"

"Austria","Operator Holding Account","VERBUND Thermal Power GmbH & Co KG","97","Verbund KW Voitsberg","FN 220426 g","EEW012","2004-01-02","Combustion installations with a rated thermal input exceeding 20 MW","C"

"Austria","Operator Holding Account","VERBUND Thermal Power GmbH & CO KG","98","Verbund KW Zeltweg","FN 220426 g","EEW015","2004-01-01","Combustion installations with a rated thermal input exceeding 20 MW","A"

"Austria","Operator Holding Account","Sappi Austria Produktions-GmbH & Co. KG","110","Sappi Gratkorn","FN 223882 p","IPA088","2004-01-02","Production of paper or cardboard","A"



